Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x823c6660 System                    4      0     69      200 ------      0                                                              
0x82238550 smss.exe                564      4      3       19 ------      0 2015-03-20 01:47:27 UTC+0000                                 
0x822d3020 csrss.exe               620    564     13      478      0      0 2015-03-20 01:47:29 UTC+0000                                 
0x81eaada0 winlogon.exe            644    564     19      545      0      0 2015-03-20 01:47:31 UTC+0000                                 
0x822a4da0 services.exe            688    644     15      293      0      0 2015-03-20 01:47:35 UTC+0000                                 
0x81b420d0 lsass.exe               700    644     23      371      0      0 2015-03-20 01:47:35 UTC+0000                                 
0x8229e650 vmacthlp.exe            876    688      1       38      0      0 2015-03-20 01:47:38 UTC+0000                                 
0x81e93da0 svchost.exe             908    688     19      226      0      0 2015-03-20 01:47:39 UTC+0000                                 
0x81b28020 svchost.exe            1000    688      9      291      0      0 2015-03-20 01:47:40 UTC+0000                                 
0x8206e2d0 svchost.exe            1112    688     76     1411      0      0 2015-03-20 01:47:40 UTC+0000                                 
0x81aeb7a8 svchost.exe            1264    688      6       95      0      0 2015-03-20 01:47:41 UTC+0000                                 
0x81adc958 svchost.exe            1364    688     13      189      0      0 2015-03-20 01:47:41 UTC+0000                                 
0x8200eb90 spoolsv.exe            1588    688     13      156      0      0 2015-03-20 01:47:46 UTC+0000                                 
0x81abc020 explorer.exe           1892   1848     13      459      0      0 2015-03-20 01:47:48 UTC+0000                                 
0x81aadb20 vmtoolsd.exe           1104   1892      6      258      0      0 2015-03-20 01:47:55 UTC+0000                                 
0x81ff3498 svchost.exe            1872    688      5      113      0      0 2015-03-20 01:48:01 UTC+0000                                 
0x81a92b20 vmtoolsd.exe           1992    688      7      292      0      0 2015-03-20 01:48:02 UTC+0000                                 
0x81f948a8 imapi.exe              1236    688      5      125      0      0 2015-03-20 01:48:14 UTC+0000                                 
0x81f7f020 TPAutoConnSvc.e        1620    688      5      123      0      0 2015-03-20 01:48:14 UTC+0000                                 
0x81fa5788 wscntfy.exe            1652   1112      1       41      0      0 2015-03-20 01:48:14 UTC+0000                                 
0x81f74cc8 alg.exe                1732    688      6      111      0      0 2015-03-20 01:48:16 UTC+0000                                 
0x81a36488 TPAutoConnect.e        1676   1620      1       82      0      0 2015-03-20 01:48:17 UTC+0000                                 
0x81a51248 ctfmon.exe             2088   1360      1       94      0      0 2015-03-20 01:48:18 UTC+0000                                 
0x81a1cb98 wuauclt.exe             476   1112      4      119      0      0 2015-03-20 01:49:13 UTC+0000                                 
0x81a98020 firefox.exe            2656   1972     61      577      0      0 2015-03-20 01:49:46 UTC+0000                                 
0x81ec6020 cmd.exe                 428   1892      1       32      0      0 2015-03-20 01:59:55 UTC+0000                                 
0x81fe9020 plugin-containe        1880   2656      0 --------      0      0 2015-03-20 03:22:54 UTC+0000   2015-03-20 03:23:56 UTC+0000  
0x81ff6af0 virus.exe               776   1892      1       47      0      0 2015-03-20 03:23:16 UTC+0000                                 
0x81aab020 cmd.exe                1724   1992      0 --------      0      0 2015-03-20 03:24:21 UTC+0000   2015-03-20 03:24:22 UTC+0000  
0x81f6db80 ipconfig.exe           3912   1724      0 --------      0      0 2015-03-20 03:24:21 UTC+0000   2015-03-20 03:24:22 UTC+0000  
